"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"bayt-7199554286196668869","bayt","https://www.bayt.com/en/uae/jobs/oracle-apex-developer-5266466/","","Oracle APEX Developer","ORSERS Consulting","Dubai · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-4396492665068262542","bayt","https://www.bayt.com/en/lebanon/jobs/software-developer-5265869/","","Software Developer","BUTEC S.A.L.","Beirut · Lebanon","","","","","","","","","","","","","","","","","","","","",""
"bayt-3488340656268797733","bayt","https://www.bayt.com/en/qatar/jobs/net-sss-application-developer-5264578/","",".Net SSS Application developer","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-3372596359046875547","bayt","https://www.bayt.com/en/uae/jobs/rpa-developer-5262972/","","RPA Developer","TASC Outsourcing","Dubai · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-2137129856817274440","bayt","https://www.bayt.com/en/usa/jobs/wordpress-developer-5262447/","","WordPress Developer","Power Pulse Marketing","New York · USA","","","","","","","","","","","","","","","","","","","","",""
"bayt-7979229909579876547","bayt","https://www.bayt.com/en/qatar/jobs/sap-bods-developer-5261448/","","SAP BODS Developer","VINIRMA Consulting Pvt.Ltd","Doha · Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-9073011563598699453","bayt","https://www.bayt.com/en/jordan/jobs/net-maui-developer-5257223/","","NET MAUI Developer .","tradervolt","Amman · Jordan","","","","","","","","","","","","","","","","","","","","",""
"bayt-6464582421879008398","bayt","https://www.bayt.com/en/qatar/jobs/sap-bods-developer-5256566/","","SAP BODS Developer","VINIRMA Consulting Pvt.Ltd","Doha · Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-7097016448968165047","bayt","https://www.bayt.com/en/saudi-arabia/jobs/it-developer-5252177/","","IT Developer","Wared for water services","Jeddah · Saudi Arabia","","","","","","","","","","","","","","","","","","","","",""
"bayt-4266861490556940556","bayt","https://www.bayt.com/en/saudi-arabia/jobs/software-engineer-5252703/","","Software Engineer","Toq For information Technology","Riyadh · Saudi Arabia","","","","","","","","","","","","","","","","","","","","",""
"bayt-529169311872976444","bayt","https://www.bayt.com/en/kuwait/jobs/programmer-5253636/","","Programmer","Confidential Company","Al Kuwait · Kuwait","","","","","","","","","","","","","","","","","","","","",""
"bayt-8696663892011983995","bayt","https://www.bayt.com/en/qatar/jobs/senior-sap-developer-abap-5251248/","","Senior SAP Developer – ABAP","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-8450412138082594537","bayt","https://www.bayt.com/en/qatar/jobs/senior-consultant-application-developer-5251236/","","Senior Consultant - Application Developer","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-406695040145136044","bayt","https://www.bayt.com/en/qatar/jobs/sap-developer-abap-5251230/","","SAP Developer – ABAP","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-4104136425806938025","bayt","https://www.bayt.com/en/qatar/jobs/experienced-sap-developer-abap-5251203/","","Experienced SAP Developer – ABAP","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-3223372544149336448","bayt","https://www.bayt.com/en/qatar/jobs/experienced-application-developer-5251198/","","Experienced Application Developer","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-4514634622203389497","bayt","https://www.bayt.com/en/qatar/jobs/consultant-application-developer-5251162/","","Consultant- Application Developer","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-6807971596336707643","bayt","https://www.bayt.com/en/qatar/jobs/power-bi-dashboard-developer-5250001/","","Power BI Dashboard Developer","Candidzone Qatar","Doha · Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-5498175479202390434","bayt","https://www.bayt.com/en/china/jobs/software-developer-5248286/","","Software Developer","Wuwi Inc","Shijiazhuang · China","","","","","","","","","","","","","","","","","","","","",""
"bayt-8457487260742284652","bayt","https://www.bayt.com/en/uae/jobs/crm-technical-developer-5248110/","","CRM Technical Developer","Apar Technology","Dubai · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-4168713153347895148","bayt","https://www.bayt.com/en/uae/jobs/software-developer-5243579/","","Software Developer","TOPFORM TECHNOLOGIES LLC","Dubai · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-5002816527404471619","bayt","https://www.bayt.com/en/egypt/jobs/%D9%85%D8%B7%D9%88%D8%B1-%D8%A7%D8%B9%D9%85%D8%A7%D9%84-%D9%84%D9%84%D8%B9%D9%85%D9%84-%D8%A8%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-5242472/","","مطور اعمال للعمل بالسعودية","شركة البدوي للتوظيف/ Albadwy Recruitment","Heliopolis · Cairo · Egypt","","","","","","","","","","","","","","","","","","","","",""
"bayt-563624623121223987","bayt","https://www.bayt.com/en/bahrain/jobs/developer-5241246/","","Developer","VINIRMA Consulting Pvt.Ltd","Manama · Bahrain","","","","","","","","","","","","","","","","","","","","",""
"bayt-9115480374426778259","bayt","https://www.bayt.com/en/bahrain/jobs/it-developer-5240903/","","IT Developer","Career Maker Bahrain","Manama · Bahrain","","","","","","","","","","","","","","","","","","","","",""
"bayt-1785060541047170088","bayt","https://www.bayt.com/en/uk/jobs/it-developer-5240442/","","IT Developer","The Tower Ideas","London · UK","","","","","","","","","","","","","","","","","","","","",""
"bayt-703091160544802208","bayt","https://www.bayt.com/en/austria/jobs/software-developer-5236494/","","Software Developer","ADEC Innovations AT GmbH","Vienna · Austria","","","","","","","","","","","","","","","","","","","","",""
"bayt-5379556309849175590","bayt","https://www.bayt.com/en/kuwait/jobs/programmer-5235901/","","Programmer","Towell Holding","Kuwait","","","","","","","","","","","","","","","","","","","","",""
"bayt-7876498423220883169","bayt","https://www.bayt.com/en/india/jobs/angular-developer-5234558/","","Angular Developer","TASC Outsourcing","India","","","","","","","","","","","","","","","","","","","","",""
"bayt-7808331785429321414","bayt","https://www.bayt.com/en/jordan/jobs/software-engineer-backend-5233633/","","Software Engineer - Backend","Bayt.com","Jordan","","","","","","","","","","","","","","","","","","","","",""
"bayt-2476250607994670706","bayt","https://www.bayt.com/en/saudi-arabia/jobs/business-intelligence-developer-5233627/","","Business Intelligence Developer","Energy Tech","Dammam · Saudi Arabia","","","","","","","","","","","","","","","","","","","","",""
"bayt-7863927672301470775","bayt","https://www.bayt.com/en/kuwait/jobs/laserfiche-implementer-with-development-skills-5233626/","","Laserfiche Implementer with Development Skills","ACCWLL","Kuwait","","","","","","","","","","","","","","","","","","","","",""
"bayt-5709726656124969081","bayt","https://www.bayt.com/en/jordan/jobs/senior-software-engineer-5232081/","","Senior Software Engineer","ChalkTalk","Amman · Jordan","","","","","","","","","","","","","","","","","","","","",""
"bayt-207260561049262045","bayt","https://www.bayt.com/en/kuwait/jobs/wordpress-developer-5232315/","","Wordpress Developer","Future Communications Company","Al Kuwait · Kuwait","","","","","","","","","","","","","","","","","","","","",""
